INLINE ModularEXPClassTable,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
Mage (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sage,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sage (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mage Knight (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bishop,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bishop (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shaman,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shaman (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Druid,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Druid (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Summoner,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Summoner (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rogue,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon Egg,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Great Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Great Knight (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (2),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (3),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (3),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (3),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manakete (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (1),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (1),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fighter,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Warrior,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brigand,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pirate,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Berserker,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Monk,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Priest,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bard,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Recruit (1),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pegasus Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Falcon Knight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cleric,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Troubadour,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Valkyrie,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dancer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Soldier,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Necromancer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fleet,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Phantom,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Revenant,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Entombed,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bonewalker,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bonewalker (Bow),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wight,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wight (Bow),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bael,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elder Bael,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyclops,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauthe Doog,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gwyllgi,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tarvos,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maelduin,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mogall,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arch Mogall,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gorgon Egg,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gargoyle,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deathgoyle,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dracozombie,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Demon King,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Iron Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Archer on Killer Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iron Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Killer Ballista,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civilian (F),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Queen,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prince,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Queen,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
(empty),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fallen Prince,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tent,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pontifex,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dead Peer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyclops,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elder Bael,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Journeyman (2),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pupil (2),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
None,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
